contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	Assembly Age	state	No	Colorado;Adams County	total	111879
BallotMeasure	Assembly Age	state	No	Colorado;Alamosa County	total	3911
BallotMeasure	Assembly Age	state	No	Colorado;Arapahoe County	total	167872
BallotMeasure	Assembly Age	state	No	Colorado;Archuleta County	total	4425
BallotMeasure	Assembly Age	state	No	Colorado;Baca County	total	1505
BallotMeasure	Assembly Age	state	No	Colorado;Bent County	total	1388
BallotMeasure	Assembly Age	state	No	Colorado;Boulder County	total	78399
BallotMeasure	Assembly Age	state	No	Colorado;Broomfield County	total	21528
BallotMeasure	Assembly Age	state	No	Colorado;Chaffee County	total	6919
BallotMeasure	Assembly Age	state	No	Colorado;Cheyenne County	total	799
BallotMeasure	Assembly Age	state	No	Colorado;Clear Creek County	total	3354
BallotMeasure	Assembly Age	state	No	Colorado;Conejos County	total	2441
BallotMeasure	Assembly Age	state	No	Colorado;Costilla County	total	922
BallotMeasure	Assembly Age	state	No	Colorado;Crowley County	total	1066
BallotMeasure	Assembly Age	state	No	Colorado;Custer County	total	2093
BallotMeasure	Assembly Age	state	No	Colorado;Delta County	total	10859
BallotMeasure	Assembly Age	state	No	Colorado;Denver County	total	150028
BallotMeasure	Assembly Age	state	No	Colorado;Dolores County	total	881
BallotMeasure	Assembly Age	state	No	Colorado;Douglas County	total	124051
BallotMeasure	Assembly Age	state	No	Colorado;Eagle County	total	12238
BallotMeasure	Assembly Age	state	No	Colorado;El Paso County	total	192329
BallotMeasure	Assembly Age	state	No	Colorado;Elbert County	total	11744
BallotMeasure	Assembly Age	state	No	Colorado;Fremont County	total	14250
BallotMeasure	Assembly Age	state	No	Colorado;Garfield County	total	15062
BallotMeasure	Assembly Age	state	No	Colorado;Gilpin County	total	2048
BallotMeasure	Assembly Age	state	No	Colorado;Grand County	total	5001
BallotMeasure	Assembly Age	state	No	Colorado;Gunnison County	total	4797
BallotMeasure	Assembly Age	state	No	Colorado;Hinsdale County	total	385
BallotMeasure	Assembly Age	state	No	Colorado;Huerfano County	total	2339
BallotMeasure	Assembly Age	state	No	Colorado;Jackson County	total	574
BallotMeasure	Assembly Age	state	No	Colorado;Jefferson County	total	193855
BallotMeasure	Assembly Age	state	No	Colorado;Kiowa County	total	586
BallotMeasure	Assembly Age	state	No	Colorado;Kit Carson County	total	2545
BallotMeasure	Assembly Age	state	No	Colorado;La Plata County	total	16312
BallotMeasure	Assembly Age	state	No	Colorado;Lake County	total	1706
BallotMeasure	Assembly Age	state	No	Colorado;Larimer County	total	109272
BallotMeasure	Assembly Age	state	No	Colorado;Las Animas County	total	4236
BallotMeasure	Assembly Age	state	No	Colorado;Lincoln County	total	1687
BallotMeasure	Assembly Age	state	No	Colorado;Logan County	total	6536
BallotMeasure	Assembly Age	state	No	Colorado;Mesa County	total	48198
BallotMeasure	Assembly Age	state	No	Colorado;Mineral County	total	389
BallotMeasure	Assembly Age	state	No	Colorado;Moffat County	total	4104
BallotMeasure	Assembly Age	state	No	Colorado;Montezuma County	total	7961
BallotMeasure	Assembly Age	state	No	Colorado;Montrose County	total	13883
BallotMeasure	Assembly Age	state	No	Colorado;Morgan County	total	7949
BallotMeasure	Assembly Age	state	No	Colorado;Otero County	total	5301
BallotMeasure	Assembly Age	state	No	Colorado;Ouray County	total	1772
BallotMeasure	Assembly Age	state	No	Colorado;Park County	total	6574
BallotMeasure	Assembly Age	state	No	Colorado;Phillips County	total	1574
BallotMeasure	Assembly Age	state	No	Colorado;Pitkin County	total	4417
BallotMeasure	Assembly Age	state	No	Colorado;Prowers County	total	3168
BallotMeasure	Assembly Age	state	No	Colorado;Pueblo County	total	44285
BallotMeasure	Assembly Age	state	No	Colorado;Rio Blanco County	total	2359
BallotMeasure	Assembly Age	state	No	Colorado;Rio Grande County	total	3485
BallotMeasure	Assembly Age	state	No	Colorado;Routt County	total	7496
BallotMeasure	Assembly Age	state	No	Colorado;Saguache County	total	1479
BallotMeasure	Assembly Age	state	No	Colorado;San Juan County	total	247
BallotMeasure	Assembly Age	state	No	Colorado;San Miguel County	total	1825
BallotMeasure	Assembly Age	state	No	Colorado;Sedgwick County	total	873
BallotMeasure	Assembly Age	state	No	Colorado;Summit County	total	7662
BallotMeasure	Assembly Age	state	No	Colorado;Teller County	total	9412
BallotMeasure	Assembly Age	state	No	Colorado;Washington County	total	1984
BallotMeasure	Assembly Age	state	No	Colorado;Weld County	total	86040
BallotMeasure	Assembly Age	state	No	Colorado;Yuma County	total	3301
BallotMeasure	Assembly Age	state	Yes	Colorado;Adams County	total	55047
BallotMeasure	Assembly Age	state	Yes	Colorado;Alamosa County	total	1966
BallotMeasure	Assembly Age	state	Yes	Colorado;Arapahoe County	total	92910
BallotMeasure	Assembly Age	state	Yes	Colorado;Archuleta County	total	2191
BallotMeasure	Assembly Age	state	Yes	Colorado;Baca County	total	329
BallotMeasure	Assembly Age	state	Yes	Colorado;Bent County	total	466
BallotMeasure	Assembly Age	state	Yes	Colorado;Boulder County	total	92234
BallotMeasure	Assembly Age	state	Yes	Colorado;Broomfield County	total	13547
BallotMeasure	Assembly Age	state	Yes	Colorado;Chaffee County	total	3737
BallotMeasure	Assembly Age	state	Yes	Colorado;Cheyenne County	total	171
BallotMeasure	Assembly Age	state	Yes	Colorado;Clear Creek County	total	1937
BallotMeasure	Assembly Age	state	Yes	Colorado;Conejos County	total	955
BallotMeasure	Assembly Age	state	Yes	Colorado;Costilla County	total	556
BallotMeasure	Assembly Age	state	Yes	Colorado;Crowley County	total	300
BallotMeasure	Assembly Age	state	Yes	Colorado;Custer County	total	704
BallotMeasure	Assembly Age	state	Yes	Colorado;Delta County	total	4008
BallotMeasure	Assembly Age	state	Yes	Colorado;Denver County	total	147429
BallotMeasure	Assembly Age	state	Yes	Colorado;Dolores County	total	263
BallotMeasure	Assembly Age	state	Yes	Colorado;Douglas County	total	48053
BallotMeasure	Assembly Age	state	Yes	Colorado;Eagle County	total	9476
BallotMeasure	Assembly Age	state	Yes	Colorado;El Paso County	total	78273
BallotMeasure	Assembly Age	state	Yes	Colorado;Elbert County	total	2696
BallotMeasure	Assembly Age	state	Yes	Colorado;Fremont County	total	5013
BallotMeasure	Assembly Age	state	Yes	Colorado;Garfield County	total	8435
BallotMeasure	Assembly Age	state	Yes	Colorado;Gilpin County	total	1231
BallotMeasure	Assembly Age	state	Yes	Colorado;Grand County	total	2531
BallotMeasure	Assembly Age	state	Yes	Colorado;Gunnison County	total	3816
BallotMeasure	Assembly Age	state	Yes	Colorado;Hinsdale County	total	163
BallotMeasure	Assembly Age	state	Yes	Colorado;Huerfano County	total	1205
BallotMeasure	Assembly Age	state	Yes	Colorado;Jackson County	total	194
BallotMeasure	Assembly Age	state	Yes	Colorado;Jefferson County	total	104897
BallotMeasure	Assembly Age	state	Yes	Colorado;Kiowa County	total	149
BallotMeasure	Assembly Age	state	Yes	Colorado;Kit Carson County	total	473
BallotMeasure	Assembly Age	state	Yes	Colorado;La Plata County	total	11329
BallotMeasure	Assembly Age	state	Yes	Colorado;Lake County	total	1095
BallotMeasure	Assembly Age	state	Yes	Colorado;Larimer County	total	67718
BallotMeasure	Assembly Age	state	Yes	Colorado;Las Animas County	total	1856
BallotMeasure	Assembly Age	state	Yes	Colorado;Lincoln County	total	343
BallotMeasure	Assembly Age	state	Yes	Colorado;Logan County	total	1844
BallotMeasure	Assembly Age	state	Yes	Colorado;Mesa County	total	18103
BallotMeasure	Assembly Age	state	Yes	Colorado;Mineral County	total	182
BallotMeasure	Assembly Age	state	Yes	Colorado;Moffat County	total	1139
BallotMeasure	Assembly Age	state	Yes	Colorado;Montezuma County	total	3503
BallotMeasure	Assembly Age	state	Yes	Colorado;Montrose County	total	4563
BallotMeasure	Assembly Age	state	Yes	Colorado;Morgan County	total	2488
BallotMeasure	Assembly Age	state	Yes	Colorado;Otero County	total	2028
BallotMeasure	Assembly Age	state	Yes	Colorado;Ouray County	total	1380
BallotMeasure	Assembly Age	state	Yes	Colorado;Park County	total	2770
BallotMeasure	Assembly Age	state	Yes	Colorado;Phillips County	total	385
BallotMeasure	Assembly Age	state	Yes	Colorado;Pitkin County	total	5008
BallotMeasure	Assembly Age	state	Yes	Colorado;Prowers County	total	881
BallotMeasure	Assembly Age	state	Yes	Colorado;Pueblo County	total	21080
BallotMeasure	Assembly Age	state	Yes	Colorado;Rio Blanco County	total	592
BallotMeasure	Assembly Age	state	Yes	Colorado;Rio Grande County	total	1332
BallotMeasure	Assembly Age	state	Yes	Colorado;Routt County	total	5397
BallotMeasure	Assembly Age	state	Yes	Colorado;Saguache County	total	1066
BallotMeasure	Assembly Age	state	Yes	Colorado;San Juan County	total	189
BallotMeasure	Assembly Age	state	Yes	Colorado;San Miguel County	total	2094
BallotMeasure	Assembly Age	state	Yes	Colorado;Sedgwick County	total	293
BallotMeasure	Assembly Age	state	Yes	Colorado;Summit County	total	6146
