contest_type	contest_district_type	Selection	Contest	ReportingUnit	CountItemType	Count
BallotMeasure	state	No	Assembly Age	Colorado;Adams County	total	111879
BallotMeasure 	state 	No 	Unknown	Unknown	total	5555
BallotMeasure	state	No	Assembly Age	Colorado;Alamosa County	total	3911
BallotMeasure	state	No	Assembly Age	Colorado;Arapahoe County	total	9999
BallotMeasure	state	No	Assembly Age	Colorado;Archuleta County	total	6666
BallotMeasure	state	No	Assembly Age	Colorado;Baca County	total	1505
BallotMeasure	state	No	Assembly Age	Colorado;Bent County	total	1388
BallotMeasure	state	No	Assembly Age	Colorado;Broomfield County	total	21528
BallotMeasure	state	No	Assembly Age	Colorado;Chaffee County	total	6919
BallotMeasure	state	No	Assembly Age	Colorado;Cheyenne County	total	799
BallotMeasure	state	No	Assembly Age	Colorado;Clear Creek County	total	3354
BallotMeasure	state	No	Assembly Age	Colorado;Conejos County	total	2441
BallotMeasure	state	No	Assembly Age	Colorado;Costilla County	total	922
BallotMeasure	state	No	Assembly Age	Colorado;Crowley County	total	1066
BallotMeasure	state	No	Assembly Age	Colorado;Custer County	total	2093
BallotMeasure	state	No	Assembly Age	Colorado;Delta County	total	10859
BallotMeasure	state	No	Assembly Age	Colorado;Denver County	total	150028
BallotMeasure	state	No	Assembly Age	Colorado;Dolores County	total	881
BallotMeasure	state	No	Assembly Age	Colorado;Douglas County	total	124051
BallotMeasure	state	No	Assembly Age	Colorado;Eagle County	total	12238
BallotMeasure	state	No	Assembly Age	Colorado;El Paso County	total	192329
BallotMeasure	state	No	Assembly Age	Colorado;Elbert County	total	11744
BallotMeasure	state	No	Assembly Age	Colorado;Fremont County	total	14250
BallotMeasure	state	No	Assembly Age	Colorado;Garfield County	total	15062
BallotMeasure	state	No	Assembly Age	Colorado;Gilpin County	total	2048
BallotMeasure	state	No	Assembly Age	Colorado;Grand County	total	5001
BallotMeasure	state	No	Assembly Age	Colorado;Gunnison County	total	4797
BallotMeasure	state	No	Assembly Age	Colorado;Hinsdale County	total	385
BallotMeasure	state	No	Assembly Age	Colorado;Huerfano County	total	2339
BallotMeasure	state	No	Assembly Age	Colorado;Jackson County	total	574
BallotMeasure	state	No	Assembly Age	Colorado;Jefferson County	total	193855
BallotMeasure	state	No	Assembly Age	Colorado;Kiowa County	total	586
BallotMeasure	state	No	Assembly Age	Colorado;Kit Carson County	total	2545
BallotMeasure	state	No	Assembly Age	Colorado;La Plata County	total	16312
BallotMeasure	state	No	Assembly Age	Colorado;Lake County	total	1706
BallotMeasure	state	No	Assembly Age	Colorado;Larimer County	total	109272
BallotMeasure	state	No	Assembly Age	Colorado;Las Animas County	total	4236
BallotMeasure	state	No	Assembly Age	Colorado;Lincoln County	total	1687
BallotMeasure	state	No	Assembly Age	Colorado;Logan County	total	6536
BallotMeasure	state	No	Assembly Age	Colorado;Mesa County	total	48198
BallotMeasure	state	No	Assembly Age	Colorado;Mineral County	total	389
BallotMeasure	state	No	Assembly Age	Colorado;Moffat County	total	4104
BallotMeasure	state	No	Assembly Age	Colorado;Montezuma County	total	7961
BallotMeasure	state	No	Assembly Age	Colorado;Montrose County	total	13883
BallotMeasure	state	No	Assembly Age	Colorado;Morgan County	total	7949
BallotMeasure	state	No	Assembly Age	Colorado;Otero County	total	5301
BallotMeasure	state	No	Assembly Age	Colorado;Ouray County	total	1772
