Name	ElectionDistrict	Election
Amend Existing Housing Program for Mental Illness.	California	2018 General
Bond for Children's Hospital Construction.	California	2018 General
Bond for Water and Environmental Projects.	California	2018 General
Bonds to Fund Veteran & Affordable Housing.	California	2018 General
Change Daylight Saving Time Period.	California	2018 General
Emergency Ambulance Employees on-call.	California	2018 General
Farm Animals Confinement Standards.	California	2018 General
Regulates Kidney Dialysis Treatment Charges.	California	2018 General
Rental Control on Residential Property.	California	2018 General
Repeal of Fuel Tax Approved by Voters.	California	2018 General
Senior Property Reduction.	California	2018 General
