BallotName	Party
Aasim Yahya	Democratic Party
Adam B. Schiff	Democratic Party
Adam C. Gray	Democratic Party
Adrin Nazarian	Democratic Party
Aileen Rizo	Democratic Party
Aja L. Brown	Democratic Party
Al Muratsuchi	Democratic Party
Alan Geraci	Democratic Party
Alan Lowenthal	Democratic Party
Alejandro Fernandez	Democratic Party
Alex Padilla	Democratic Party
Ami Bera	Democratic Party
Ammar Campa-Najjar	Democratic Party
Andrew Janz	Democratic Party
Anna Caballero	Democratic Party
Anna G. Eshoo	Democratic Party
Anthony Rendon	Democratic Party
Ash Kalra	Democratic Party
Audrey Denney	Democratic Party
Autumn Burke	Democratic Party
Barbara Lee	Democratic Party
Ben Allen	Democratic Party
Ben Hueso	Democratic Party
Betty T. Yee	Democratic Party
Bill Ostrander	Democratic Party
Bill Quirk	Democratic Party
Blanca E. Rubio	Democratic Party
Bob Hertzberg	Democratic Party
Bob J. Archuleta	Democratic Party
Bob Wieckowski	Democratic Party
Brad Sherman	Democratic Party
Bryan Witt	Democratic Party
Buffy Wicks	Democratic Party
Caleen Sisk	Democratic Party
Carla J. Neal	Democratic Party
Cecilia Aguiar-Curry	Democratic Party
Chris Holden	Democratic Party
Christy Smith	Democratic Party
Connie Leyva	Democratic Party
Cottie Petrie-Norris	Democratic Party
Cristina Garcia	Democratic Party
Dan Monte	Democratic Party
David Chiu	Democratic Party
David L. Norrdin	Democratic Party
DeniAntionette Mazingo	Democratic Party
Dianne Feinstein	Democratic Party
Doris Matsui	Democratic Party
Ed Chau	Democratic Party
Ed Hernandez	Democratic Party
Eduardo Garcia	Democratic Party
Eleni Kounalakis	Democratic Party
Elizabeth Warren	Democratic Party
Eloise Reyes	Democratic Party
Eric Swalwell	Democratic Party
Evan Low	Democratic Party
Fiona Ma	Democratic Party
Freddie Rodriguez	Democratic Party
Gavin Newsom	Democratic Party
Gil Cisneros	Democratic Party
Grace Flores Napolitano	Democratic Party
Gregg D. Fritchle	Democratic Party
Harley Rouda	Democratic Party
Harry He	Democratic Party
Holly J. Mitchell	Democratic Party
Ian C. Calderon	Democratic Party
"Jacalyn ""Jackie"" Smith"	Democratic Party
Jackie Speier	Democratic Party
Jacqui Irwin	Democratic Party
James C. Ramos	Democratic Party
James Elia	Democratic Party
Jared Huffman	Democratic Party
Jeff Griffith	Democratic Party
Jerry McNerney	Democratic Party
Jesse Gabriel	Democratic Party
Jessica Morse	Democratic Party
Jim Cooper	Democratic Party
Jim Costa	Democratic Party
Jim Frazier	Democratic Party
Jim Wood	Democratic Party
Jimmy Gomez	Democratic Party
Jimmy Panetta	Democratic Party
Joaquin Arambula	Democratic Party
John Garamendi	Democratic Party
Jose Medina	Democratic Party
Jose Sigala	Democratic Party
Josh Harder	Democratic Party
Josh Lowenthal	Democratic Party
Jovanka Beckles	Democratic Party
Joy Silver	Democratic Party
Jrmar Jefferson	Democratic Party
Juan Vargas	Democratic Party
Judy Chu	Democratic Party
Julia Brownley	Democratic Party
Julia C Peacock	Democratic Party
Kansen Chu	Democratic Party
Karen Bass	Democratic Party
Katie Hill	Democratic Party
Katie Porter	Democratic Party
Ken Cooley	Democratic Party
Kevin De Leon	Democratic Party
Kevin Hee Young Jang	Democratic Party
Kevin McCarty	Democratic Party
Kevin Mullin	Democratic Party
Laura Friedman	Democratic Party
Leslie Hagan-Morgan	Democratic Party
Linda T. S‡nchez	Democratic Party
Lorena Gonzalez Fletcher	Democratic Party
Lou Correa	Democratic Party
Lucille Roybal-Allard	Democratic Party
Luz Maria Rivas	Democratic Party
Malia Cohen	Democratic Party
Marc Berman	Democratic Party
Marc Levine	Democratic Party
Marggie Castellano	Democratic Party
Maria D. Estrada	Democratic Party
Maria Elena Durazo	Democratic Party
Mark DeSaulnier	Democratic Party
Mark Stone	Democratic Party
Mark Takano	Democratic Party
Maxine Waters	Democratic Party
Melissa Hurtado	Democratic Party
Michelle Duman	Democratic Party
Michelle Singleton	Democratic Party
Miguel Santiago	Democratic Party
Mike A. Gipson	Democratic Party
Mike Eng	Democratic Party
Mike Levin	Democratic Party
Mike McGuire	Democratic Party
Mike Schaefer	Democratic Party
Mike Thompson	Democratic Party
Nancy Pelosi	Democratic Party
Nanette Diaz Barrag‡n	Democratic Party
Nick Nicita	Democratic Party
Norma J. Torres	Democratic Party
Patrick O'Donnell	Democratic Party
Paulina Miranda	Democratic Party
Pete Aguilar	Democratic Party
Peter Choi	Democratic Party
Phil Ting	Democratic Party
Phillip Kim	Democratic Party
Raul Ruiz	Democratic Party
Rebecca Bauer-Kahan	Democratic Party
Reggie Jones-Sawyer	Democratic Party
Ricardo Lara	Democratic Party
Richard Bloom	Democratic Party
Richard Pan	Democratic Party
Ro Khanna	Democratic Party
