Name	ElectionDistrict
Attorney General	California
Controller	California
Governor	California
Insurance Commissioner	California
Lieutenant Governor	California
Secretary of State	California
State Senate District 10	California;CA State Senate District 10
State Senate District 12	California;CA State Senate District 12
State Senate District 14	California;CA State Senate District 14
State Senate District 16	California;CA State Senate District 16
State Senate District 18	California;CA State Senate District 18
State Senate District 2	California;CA State Senate District 2
State Senate District 20	California;CA State Senate District 20
State Senate District 22	California;CA State Senate District 22
State Senate District 24	California;CA State Senate District 24
State Senate District 26	California;CA State Senate District 26
State Senate District 28	California;CA State Senate District 28
State Senate District 30	California;CA State Senate District 30
State Senate District 32	California;CA State Senate District 32
State Senate District 34	California;CA State Senate District 34
State Senate District 36	California;CA State Senate District 36
State Senate District 38	California;CA State Senate District 38
State Senate District 4	California;CA State Senate District 4
State Senate District 40	California;CA State Senate District 40
State Senate District 6	California;CA State Senate District 6
State Senate District 8	California;CA State Senate District 8
Superintendent of Public Instruction	California
Treasurer	California
US House CA District 1	California;US House CA District 1
US House CA District 10	California;US House CA District 10
US House CA District 11	California;US House CA District 11
US House CA District 12	California;US House CA District 12
US House CA District 13	California;US House CA District 13
US House CA District 14	California;US House CA District 14
US House CA District 15	California;US House CA District 15
US House CA District 16	California;US House CA District 16
US House CA District 17	California;US House CA District 17
US House CA District 18	California;US House CA District 18
US House CA District 19	California;US House CA District 19
US House CA District 2	California;US House CA District 2
US House CA District 20	California;US House CA District 20
US House CA District 21	California;US House CA District 21
US House CA District 22	California;US House CA District 22
US House CA District 23	California;US House CA District 23
US House CA District 24	California;US House CA District 24
US House CA District 25	California;US House CA District 25
US House CA District 26	California;US House CA District 26
US House CA District 27	California;US House CA District 27
US House CA District 28	California;US House CA District 28
US House CA District 29	California;US House CA District 29
US House CA District 3	California;US House CA District 3
US House CA District 30	California;US House CA District 30
US House CA District 31	California;US House CA District 31
US House CA District 32	California;US House CA District 32
US House CA District 33	California;US House CA District 33
US House CA District 34	California;US House CA District 34
US House CA District 35	California;US House CA District 35
US House CA District 36	California;US House CA District 36
US House CA District 37	California;US House CA District 37
US House CA District 38	California;US House CA District 38
US House CA District 39	California;US House CA District 39
US House CA District 4	California;US House CA District 4
US House CA District 40	California;US House CA District 40
US House CA District 41	California;US House CA District 41
US House CA District 42	California;US House CA District 42
US House CA District 43	California;US House CA District 43
US House CA District 44	California;US House CA District 44
US House CA District 45	California;US House CA District 45
US House CA District 46	California;US House CA District 46
US House CA District 47	California;US House CA District 47
US House CA District 48	California;US House CA District 48
US House CA District 49	California;US House CA District 49
US House CA District 5	California;US House CA District 5
US House CA District 50	California;US House CA District 50
US House CA District 51	California;US House CA District 51
US House CA District 52	California;US House CA District 52
US House CA District 53	California;US House CA District 53
US House CA District 6	California;US House CA District 6
US House CA District 7	California;US House CA District 7
US House CA District 8	California;US House CA District 8
US House CA District 9	California;US House CA District 9
US Senate - 2	California
CA State House District 1	California;CA State House District 1
CA State House District 10	California;CA State House District 10
CA State House District 11	California;CA State House District 11
CA State House District 12	California;CA State House District 12
CA State House District 13	California;CA State House District 13
CA State House District 14	California;CA State House District 14
CA State House District 15	California;CA State House District 15
CA State House District 16	California;CA State House District 16
CA State House District 17	California;CA State House District 17
CA State House District 18	California;CA State House District 18
CA State House District 19	California;CA State House District 19
CA State House District 2	California;CA State House District 2
CA State House District 20	California;CA State House District 20
CA State House District 21	California;CA State House District 21
CA State House District 22	California;CA State House District 22
CA State House District 23	California;CA State House District 23
CA State House District 24	California;CA State House District 24
CA State House District 25	California;CA State House District 25
CA State House District 26	California;CA State House District 26
CA State House District 27	California;CA State House District 27
CA State House District 28	California;CA State House District 28
CA State House District 29	California;CA State House District 29
CA State House District 3	California;CA State House District 3
CA State House District 30	California;CA State House District 30
CA State House District 31	California;CA State House District 31
CA State House District 32	California;CA State House District 32
CA State House District 33	California;CA State House District 33
CA State House District 34	California;CA State House District 34
CA State House District 35	California;CA State House District 35
CA State House District 36	California;CA State House District 36
CA State House District 37	California;CA State House District 37
CA State House District 38	California;CA State House District 38
CA State House District 39	California;CA State House District 39
CA State House District 4	California;CA State House District 4
CA State House District 40	California;CA State House District 40
CA State House District 41	California;CA State House District 41
CA State House District 42	California;CA State House District 42
CA State House District 43	California;CA State House District 43
CA State House District 44	California;CA State House District 44
CA State House District 45	California;CA State House District 45
CA State House District 46	California;CA State House District 46
CA State House District 47	California;CA State House District 47
CA State House District 48	California;CA State House District 48
CA State House District 49	California;CA State House District 49
CA State House District 5	California;CA State House District 5
CA State House District 50	California;CA State House District 50
CA State House District 51	California;CA State House District 51
CA State House District 52	California;CA State House District 52
CA State House District 53	California;CA State House District 53
CA State House District 54	California;CA State House District 54
CA State House District 55	California;CA State House District 55
CA State House District 56	California;CA State House District 56
CA State House District 57	California;CA State House District 57
CA State House District 58	California;CA State House District 58
CA State House District 59	California;CA State House District 59
CA State House District 6	California;CA State House District 6
CA State House District 60	California;CA State House District 60
CA State House District 61	California;CA State House District 61
CA State House District 62	California;CA State House District 62
CA State House District 63	California;CA State House District 63
CA State House District 64	California;CA State House District 64
CA State House District 65	California;CA State House District 65
CA State House District 66	California;CA State House District 66
CA State House District 67	California;CA State House District 67
CA State House District 68	California;CA State House District 68
CA State House District 69	California;CA State House District 69
CA State House District 7	California;CA State House District 7
CA State House District 70	California;CA State House District 70
CA State House District 71	California;CA State House District 71
CA State House District 72	California;CA State House District 72
CA State House District 73	California;CA State House District 73
CA State House District 74	California;CA State House District 74
CA State House District 75	California;CA State House District 75
CA State House District 76	California;CA State House District 76
CA State House District 77	California;CA State House District 77
CA State House District 78	California;CA State House District 78
CA State House District 79	California;CA State House District 79
CA State House District 8	California;CA State House District 8
CA State House District 80	California;CA State House District 80
CA State House District 9	California;CA State House District 9
