cdf_element	cdf_internal_name	raw_identifier_value
ReportingUnit	California;Alameda County	Alameda
ReportingUnit	California;Alpine County	Alpine
ReportingUnit	California;Amador County	Amador
ReportingUnit	California;Butte County	Butte
ReportingUnit	California;Calaveras County	Calaveras
ReportingUnit	California;Colusa County	Colusa
ReportingUnit	California;Contra Costa County	Contra Costa
ReportingUnit	California;Del Norte County	Del Norte
ReportingUnit	California;El Dorado County	El Dorado
ReportingUnit	California;Fresno County	Fresno
ReportingUnit	California;Glenn County	Glenn
ReportingUnit	California;Humboldt County	Humboldt
ReportingUnit	California;Imperial County	Imperial
ReportingUnit	California;Inyo County	Inyo
ReportingUnit	California;Kern County	Kern
ReportingUnit	California;Kings County	Kings
ReportingUnit	California;Lake County	Lake
ReportingUnit	California;Lassen County	Lassen
ReportingUnit	California;Los Angeles County	Los Angeles
ReportingUnit	California;Madera County	Madera
ReportingUnit	California;Marin County	Marin
ReportingUnit	California;Mariposa County	Mariposa
ReportingUnit	California;Mendocino County	Mendocino
ReportingUnit	California;Merced County	Merced
ReportingUnit	California;Modoc County	Modoc
ReportingUnit	California;Mono County	Mono
ReportingUnit	California;Monterey County	Monterey
ReportingUnit	California;Napa County	Napa
ReportingUnit	California;Nevada County	Nevada
ReportingUnit	California;Orange County	Orange
ReportingUnit	California;Placer County	Placer
ReportingUnit	California;Plumas County	Plumas
ReportingUnit	California;Riverside County	Riverside
ReportingUnit	California;Sacramento County	Sacramento
ReportingUnit	California;San Benito County	San Benito
ReportingUnit	California;San Bernardino County	San Bernardino
ReportingUnit	California;San Diego County	San Diego
ReportingUnit	California;San Francisco County	San Francisco
ReportingUnit	California;San Joaquin County	San Joaquin
ReportingUnit	California;San Luis Obispo County	San Luis Obispo
ReportingUnit	California;San Mateo County	San Mateo
ReportingUnit	California;Santa Barbara County	Santa Barbara
ReportingUnit	California;Santa Clara County	Santa Clara
ReportingUnit	California;Santa Cruz County	Santa Cruz
ReportingUnit	California;Shasta County	Shasta
ReportingUnit	California;Sierra County	Sierra
ReportingUnit	California;Siskiyou County	Siskiyou
ReportingUnit	California;Solano County	Solano
ReportingUnit	California;Sonoma County	Sonoma
ReportingUnit	California;Stanislaus County	Stanislaus
ReportingUnit	California;State Totals County	State Totals
ReportingUnit	California;Sutter County	Sutter
ReportingUnit	California;Tehama County	Tehama
ReportingUnit	California;Trinity County	Trinity
ReportingUnit	California;Tulare County	Tulare
ReportingUnit	California;Tuolumne County	Tuolumne
ReportingUnit	California;Ventura County	Ventura
ReportingUnit	California;Yolo County	Yolo
ReportingUnit	California;Yuba County	Yuba
Office	CA Attorney General	Attorney General
Office	CA Controller	Controller
Office	CA Governor	Governor
Office	CA Insurance Commissioner	Insurance Commissioner
