BallotName	Party
Karen McCormick	Democratic Party
Ken Buck	Republican Party
Richard Lyons Weil	Democratic Party
John B. Vigil	Green Party
Jared Polis / Dianne Primavera	Democratic Party
Walker Stapleton / Lang Sias	Republican Party
Bill Hammons / Eric Bodenstab	Unity Party of Colorado
Scott Helker / Michele Poague	Libertarian Party
Wayne Williams	Republican Party
Jena Griswold	Democratic Party
Amanda Campbell	American Constitution Party
Blake Huber	Approval Voting Party
Brian Watson	Republican Party
Dave Young	Democratic Party
Gerald F. Kilpatrick	American Constitution Party
Phil Weiser	Democratic Party
George Brauchler	Republican Party
William F. Robinson III	Libertarian Party
Tim Krug	Democratic Party
Debora L. Scheffel	Republican Party
Lesley Smith	Democratic Party
Ken Montera	Republican Party
Christopher E. Otwell	Unity Party of Colorado
James K. Treibert	Libertarian Party
Dafna Michaelson Jenet	Democratic Party
Susan Kochevar	Republican Party
Richard L. Gabriel	
John Daniel Dailey	
Rebecca Rankin Freyre	
Elizabeth L. Harris	
David J. Richman	
Jaclyn Brown	
Sharon D. Holbrook	
Edward Moss	
Donald S. Quick	
Brian Nathaniel Bowen	
Michael A. Cox	
Cindy Dang	
Byron Lynn Howell	
Sabino E. Romano	
Dianna L. Roybal	
Rod Bockenfeld	Republican Party
Dave Rose	Democratic Party
Kevin Gulbranson	Libertarian Party
Chris Martinez	
Shontel Marie Lewis	
JoyAnn Keener Ruscha	
Mike Coffman	Republican Party
Jason Crow	Democratic Party
Kat Martin	Libertarian Party
Dan Chapin	Unaffiliated
Christopher Allen	Green Party
Beth Martinez Humenik	Republican Party
Faith Winter	Democratic Party
Donald Osborn	Libertarian Party
Adam Matkowsky	Unaffiliated
Rico Figueroa	Republican Party
Yadira Caraveo	Democratic Party
Bree Owens	Libertarian Party
Troy L. Whitmore	
Paul D. Solano	
Gerald Stephen Jaramillo	
"Alexander ""Skinny"" Winkler"	Republican Party
Kyle Mullica	Democratic Party
Ed Perlmutter	Democratic Party
Mark Barrington	Republican Party
Jennifer Nackerud	Libertarian Party
Steve Zorn	Democratic Party
Michael Haughey	Green Party
Phil Munsterman	
Bob Wilson	
Shelley Cook	
Adrienne Benavidez	Democratic Party
Vince Buzek	
Shannon Bird	Democratic Party
Bruce Baker	Republican Party
Ken Biles	Libertarian Party
Scott R. Tipton	Republican Party
Diane Mitsch Bush	Democratic Party
Gaylon Kent	Libertarian Party
Mary M. Malarsie	Independent
Richard Tetu	Unaffiliated
Bruce Lohmiller	Green Party
Gary Swing	Green Party
Alvin Rivera	Democratic Party
Glen H. Gallegos	Republican Party
Michael Stapleton	Libertarian Party
Donald E. Valdez	Democratic Party
Scott Honeycutt	Republican Party
Pattie P. Swift	
Daniel A. Walzl	
Charles Casper Stockham	Republican Party
Diana DeGette	Democratic Party
Raymon Anthony Doane	Libertarian Party
Miguel Lopez	Democratic Party
Toren Mushovic	Republican Party
