cdf_element	cdf_internal_name	raw_identifier_value
Election	General Election 2018-11-06	11/6/2001
Party	Pennsylvania Democratic Party	Democratic
Party	Pennsylvania Republican Party	Republican
Party	Pennsylvania Green Party	Green
Party	Pennsylvania Libertarian Party	Libertarian
Party	Pennsylvania Democratic / Republican Party	Democratic / Republican
Party	Pennsylvania Independent Party	Independent
Party	Pennsylvania No Affiliation Party	No Affiliation
CandidateContest	Pennsylvania;Governor	Governor;Statewide
CandidateContest	Pennsylvania;US Congress House of Representatives District 10	Representative in Congress;10th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 11	Representative in Congress;11th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 12	Representative in Congress;12th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 13	Representative in Congress;13th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 14	Representative in Congress;14th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 15	Representative in Congress;15th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 16	Representative in Congress;16th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 17	Representative in Congress;17th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 18	Representative in Congress;18th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 1	Representative in Congress;1st Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 2	Representative in Congress;2nd Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 3	Representative in Congress;3rd Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 4	Representative in Congress;4th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 5	Representative in Congress;5th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 6	Representative in Congress;6th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 7	Representative in Congress;7th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 8	Representative in Congress;8th Congressional District
CandidateContest	Pennsylvania;US Congress House of Representatives District 9	Representative in Congress;9th Congressional District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 100	Representative in the General Assembly;100th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 101	Representative in the General Assembly;101st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 102	Representative in the General Assembly;102nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 103	Representative in the General Assembly;103rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 104	Representative in the General Assembly;104th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 105	Representative in the General Assembly;105th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 106	Representative in the General Assembly;106th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 107	Representative in the General Assembly;107th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 108	Representative in the General Assembly;108th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 109	Representative in the General Assembly;109th Legislative District
